player,player_id,mu,sigma,form,tss_ott,tss_app,tss_arg,tss_putt,TalentScore,Tier,Overall2K,Driving2K,Approach2K,ShortGame2K,Putting2K,Consistency2K,DogFactor2K
Jason Day,28089,0.03899999999999999,0.1734212116976083,0.03899999999999999,0.092,-0.113,0.301,0.171,0.03899999999999999,B,79,87,79,89,83,93,91
Nico Echavarria,51349,0.037800000000000014,0.41674012685765377,0.037800000000000014,-0.058,0.081,-0.319,0.666,0.037800000000000014,B,79,84,82,68,93,80,83
Andrew Putnam,34256,0.035800000000000005,0.5491401612217656,0.035800000000000005,-0.69,0.287,0.465,0.439,0.035800000000000005,B,79,73,85,94,88,73,79
Lanto Griffin,35310,0.0353,0.13723945011062477,0.0353,-0.075,0.153,-0.137,0.095,0.0353,B,79,84,83,74,81,95,92
Vince Whaley,51894,0.03135,0.1523512936166499,0.03135,-0.001,-0.054,0.199,0.261,0.03135,B,79,85,80,85,85,94,91
Tom Kim,55182,0.02645000000000001,0.19467665499489145,0.02645000000000001,-0.204,0.152,0.197,-0.103,0.02645000000000001,B,78,82,83,85,77,92,89
Kris Ventura,35658,0.026199999999999998,0.18563315077503442,0.026199999999999998,0.116,-0.036,-0.14,0.286,0.026199999999999998,B,78,87,80,74,85,92,89
Nick Hardy,47988,0.02525,0.1835701500789276,0.02525,0.131,0.086,-0.237,-0.172,0.02525,B,78,88,82,70,76,92,89
Carson Young,52513,0.023700000000000002,0.21602777599188488,0.023700000000000002,0.17,0.072,-0.318,-0.12,0.023700000000000002,B,78,88,81,68,77,91,89
David Lipsky,36326,0.02365000000000001,0.2812981810582263,0.02365000000000001,-0.258,0.266,0.091,-0.323,0.02365000000000001,B,78,81,84,81,73,87,86
Erik van Rooyen,40006,0.019449999999999988,0.24753316276140996,0.019449999999999988,0.186,0.017,-0.026,-0.401,0.019449999999999988,B,78,89,81,78,71,89,87
Isaiah Salinda,56781,0.018299999999999983,0.46021915069526026,0.018299999999999983,0.516,-0.133,-0.107,-0.606,0.018299999999999983,B,78,94,78,75,67,78,81
Nate Lashley,28775,0.01575,0.12423767544509193,0.01575,-0.105,0.147,-0.042,-0.126,0.01575,B,78,84,83,77,77,96,91
Trey Mullinax,46601,0.011600000000000001,0.13314997809487866,0.011600000000000001,0.045,0.06,-0.218,0.038,0.011600000000000001,B,78,86,81,71,80,95,91
Adam Svensson,40115,0.011550000000000012,0.4050468079946645,0.011550000000000012,-0.253,0.238,0.255,-0.579,0.011550000000000012,C,78,81,84,87,68,81,83
Sam Stevens,55893,0.011299999999999994,0.237238803740029,0.011299999999999994,0.302,-0.25,0.182,0.059,0.011299999999999994,C,78,91,77,85,81,90,88
Max Greyserman,51977,0.011200000000000005,0.15509137091835037,0.011200000000000005,-0.074,-0.03,0.138,0.262,0.011200000000000005,C,78,84,80,83,85,94,90
Sam Ryder,37275,0.0077000000000000055,0.36790669106899015,0.0077000000000000055,-0.198,0.041,-0.093,0.626,0.0077000000000000055,C,78,82,81,75,92,83,84
Rasmus Højgaard,52686,0.0026999999999999975,0.12359173381204208,0.0026999999999999975,0.183,-0.098,-0.022,-0.048,0.0026999999999999975,C,78,89,79,78,78,96,91
Alejandro Tosti,38991,-0.0002500000000000141,0.40906590748517124,-0.0002500000000000141,0.352,-0.162,0.167,-0.58,-0.0002500000000000141,C,78,91,78,84,68,80,82
Patrick Rodgers,36699,-0.002000000000000012,0.11487094207558905,-0.002000000000000012,0.118,-0.129,0.111,0.04,-0.002000000000000012,C,78,87,79,82,80,96,91
Taylor Moore,49947,-0.013450000000000004,0.24331735107331193,-0.013450000000000004,0.147,-0.207,0.32,-0.124,-0.013450000000000004,C,77,88,77,89,77,89,87
Eric Cole,47591,-0.014849999999999985,0.33130688190860147,-0.014849999999999985,-0.476,0.189,0.138,0.222,-0.014849999999999985,C,77,77,83,83,84,85,84
Thomas Detry,33653,-0.022350000000000002,0.16010205078844764,-0.022350000000000002,0.169,-0.164,-0.079,0.126,-0.022350000000000002,C,77,88,78,76,82,94,89
Jacob Bridgeman,60004,-0.022550000000000008,0.2304358189749733,-0.022550000000000008,-0.087,-0.111,0.098,0.388,-0.022550000000000008,C,77,84,79,82,87,90,87
Thriston Lawrence,45523,-0.024000000000000007,0.22519824599672175,-0.024000000000000007,0.231,-0.099,-0.117,-0.312,-0.024000000000000007,C,77,89,79,74,73,90,87
Christiaan Bezuidenhout,45522,-0.02754999999999999,0.3727361667453267,-0.02754999999999999,-0.38,-0.014,0.313,0.458,-0.02754999999999999,C,77,79,80,89,89,82,83
Chad Ramey,47983,-0.03849999999999999,0.13663088962602857,-0.03849999999999999,0.013,-0.107,-0.089,0.191,-0.03849999999999999,C,77,86,79,75,83,95,90
Trevor Cone,49453,-0.03899999999999999,0.26339830422131927,-0.03899999999999999,0.277,-0.149,-0.133,-0.351,-0.03899999999999999,C,77,90,78,74,72,88,86
