hole,par,hole_type,player_name,expected_sg_vs_field_per_round
3,4,short_par4,Patrick Fishburn,0.012154317985978946
3,4,short_par4,Antoine Rozner,-0.21961546424584844
3,4,short_par4,Ricky Castillo,-0.00766410913754506
3,4,short_par4,Ryan Fox,0.01684235774866752
3,4,short_par4,Luke Clanton,-0.15957743849835765
3,4,short_par4,Mac Meissner,-0.01996229903165547
3,4,short_par4,Zac Blair,-0.14954100302529738
3,4,short_par4,Matt Fitzpatrick,0.06197739554426019
3,4,short_par4,Max McGreevy,-0.07527370804184391
3,4,short_par4,Kevin Roy,0.01553961597968311
3,4,short_par4,Harry Hall,0.0009509223821363167
3,4,short_par4,Jesper Svensson,-0.07256470218932062
3,4,short_par4,J.T. Poston,0.07287707538630306
3,4,short_par4,Austin Eckroat,-0.19911611756870248
3,4,short_par4,Ryo Hisatsune,-0.04110294145786121
3,4,short_par4,Jake Knapp,-0.05048373279158045
3,4,short_par4,Rickie Fowler,-0.02759738983548932
3,4,short_par4,Cameron Young,-0.05806800031214022
3,4,short_par4,Jhonattan Vegas,-0.14580683994450616
3,4,short_par4,Joel Dahmen,-0.12058403458570192
3,4,short_par4,Harris English,-0.03331455749739076
3,4,short_par4,Sam Burns,-0.1110931855781584
3,4,short_par4,Denny McCarthy,-0.11768890271025242
3,4,short_par4,Matt Wallace,-0.029401222084989874
3,4,short_par4,Garrick Higgo,-0.045891967285558305
4,3,long_par3,Scottie Scheffler,0.6601486032781821
4,3,long_par3,Tommy Fleetwood,0.4261532192396198
4,3,long_par3,Collin Morikawa,0.04626965044771733
4,3,long_par3,J.J. Spaun,0.22015129597134808
4,3,long_par3,Viktor Hovland,0.09842653544445355
4,3,long_par3,Rico Hoey,-0.2789505955965125
4,3,long_par3,Sepp Straka,0.17450268916186937
4,3,long_par3,Russell Henley,0.3543427900163269
4,3,long_par3,Patrick Cantlay,0.21280308445593588
4,3,long_par3,Shane Lowry,0.10631003287817914
4,3,long_par3,Rory McIlroy,0.1514251520016232
4,3,long_par3,Kurt Kitayama,0.05032347354133451
4,3,long_par3,Ben Griffin,0.27973865739567083
4,3,long_par3,Aaron Rai,0.09731756193035983
4,3,long_par3,Si Woo Kim,0.05579807202509646
4,3,long_par3,Nicolai Højgaard,0.0151361106356232
4,3,long_par3,Kevin Yu,-0.028135278500851294
4,3,long_par3,Ben Kohles,-0.0867154961071016
4,3,long_par3,Daniel Berger,-0.05005702791273703
4,3,long_par3,Keegan Bradley,0.17097903518643043
4,3,long_par3,Doug Ghim,-0.19283831226241077
4,3,long_par3,Xander Schauffele,0.033286040632423436
4,3,long_par3,Akshay Bhatia,0.025947118549921926
4,3,long_par3,Robert MacIntyre,0.20237947013682303
4,3,long_par3,Pierceson Coody,-0.16027551866039041
4,3,long_par3,Corey Conners,0.01502516272100511
4,3,long_par3,Lee Hodges,0.12278388123937108
4,3,long_par3,Jordan Spieth,0.20383608014223217
4,3,long_par3,Justin Thomas,0.23098069522950923
4,3,long_par3,Lucas Glover,0.002889431670249252
4,3,long_par3,Hideki Matsuyama,0.127159700443485
4,3,long_par3,Victor Perez,0.010179846180937353
4,3,long_par3,Ryan Gerard,-0.028388255609280596
4,3,long_par3,Bud Cauley,0.11440370760713804
4,3,long_par3,Nick Taylor,0.127300392486585
4,3,long_par3,Taylor Pendrith,-0.05131179302221702
4,3,long_par3,Keith Mitchell,-0.11050473454609039
4,3,long_par3,Maverick McNealy,0.0571995250288435
4,3,long_par3,Michael Kim,0.11543450969944088
4,3,long_par3,Chris Kirk,-0.006528593053085549
4,3,long_par3,Thorbjørn Olesen,0.09623147215553893
4,3,long_par3,Gary Woodland,-0.1402562586900241
4,3,long_par3,Steven Fisk,-0.13049772819425473
4,3,long_par3,Michael Thorbjornsen,-0.19833026288041114
4,3,long_par3,Joseph Bramlett,-0.2504755396268081
4,3,long_par3,Alex Smalley,0.023869280697669013
4,3,long_par3,Emiliano Grillo,-0.046830294782223635
4,3,long_par3,Adam Scott,-0.018785951486801847
4,3,long_par3,Sami Valimaki,-0.03828957171447298
4,3,long_par3,Thomas Rosenmueller,-0.35546887696473983
4,3,long_par3,Davis Thompson,-0.1089483320698126
4,3,long_par3,Chris Gotterup,-0.11315846638443447
4,3,long_par3,Ludvig Åberg,-0.12260358744553296
4,3,long_par3,Greyson Sigg,-0.10588368258992613
4,3,long_par3,Henrik Norlander,-0.15623395653492342
4,3,long_par3,Patrick Fishburn,-0.004013991950330964
4,3,long_par3,Antoine Rozner,-0.20503733770699345
4,3,long_par3,Ricky Castillo,-0.044724490458057424
4,3,long_par3,Ryan Fox,0.06431814505354064
4,3,long_par3,Luke Clanton,-0.19272656026817347
4,3,long_par3,Mac Meissner,0.04428044040298639
4,3,long_par3,Zac Blair,-0.06848543711979505
4,3,long_par3,Matt Fitzpatrick,0.07329688403911844
4,3,long_par3,Max McGreevy,-0.13005856128195306
4,3,long_par3,Kevin Roy,-0.013153985315994574
4,3,long_par3,Harry Hall,-0.005351044409766504
4,3,long_par3,Jesper Svensson,-0.16738021405997722
4,3,long_par3,J.T. Poston,0.08283494109338214
4,3,long_par3,Austin Eckroat,-0.22582311593012988
4,3,long_par3,Ryo Hisatsune,-0.03464700340963255
4,3,long_par3,Jake Knapp,-0.09587667560852838
4,3,long_par3,Rickie Fowler,-0.05812410144832189
4,3,long_par3,Cameron Young,-0.1310438582145306
4,3,long_par3,Jhonattan Vegas,-0.1785044275088087
4,3,long_par3,Joel Dahmen,-0.13360124814323313
4,3,long_par3,Harris English,-0.08351435093619992
4,3,long_par3,Sam Burns,-0.1788355488394053
4,3,long_par3,Denny McCarthy,-0.08645078261833364
4,3,long_par3,Matt Wallace,0.010501502169966473
4,3,long_par3,Garrick Higgo,-0.0871433411267326
5,4,long_par4,Scottie Scheffler,0.6888485287685531
5,4,long_par4,Tommy Fleetwood,0.35785061612964114
5,4,long_par4,Collin Morikawa,0.12278602275031596
5,4,long_par4,J.J. Spaun,0.21088232036320528
5,4,long_par4,Viktor Hovland,0.07194346533891084
5,4,long_par4,Rico Hoey,-0.10981303040163709
5,4,long_par4,Sepp Straka,0.15847942687269084
5,4,long_par4,Russell Henley,0.23891146070293662
5,4,long_par4,Patrick Cantlay,0.20793764454002925
5,4,long_par4,Shane Lowry,0.06271875455110393
5,4,long_par4,Rory McIlroy,0.2151478297753459
5,4,long_par4,Kurt Kitayama,0.12009917052038446
5,4,long_par4,Ben Griffin,0.22393062907061836
5,4,long_par4,Aaron Rai,0.12837683919173862
5,4,long_par4,Si Woo Kim,0.060824140718111264
5,4,long_par4,Nicolai Højgaard,0.028791005278628146
5,4,long_par4,Kevin Yu,0.08416165497571804
5,4,long_par4,Ben Kohles,-0.0762388851771362
5,4,long_par4,Daniel Berger,0.025245923033287033
5,4,long_par4,Keegan Bradley,0.14502197436702224
5,4,long_par4,Doug Ghim,-0.14134112433526264
5,4,long_par4,Xander Schauffele,0.004709383490863452
5,4,long_par4,Akshay Bhatia,-0.014127309324678147
5,4,long_par4,Robert MacIntyre,0.17110530361130752
5,4,long_par4,Pierceson Coody,-0.004326643055284576
5,4,long_par4,Corey Conners,0.06471410177149084
5,4,long_par4,Lee Hodges,0.07426545165184337
5,4,long_par4,Jordan Spieth,0.19015146573158473
5,4,long_par4,Justin Thomas,0.1438382314290214
5,4,long_par4,Lucas Glover,-0.026623766780082866
5,4,long_par4,Hideki Matsuyama,-0.024836071170773896
5,4,long_par4,Victor Perez,-0.01148799102553224
5,4,long_par4,Ryan Gerard,-0.03376392869922531
5,4,long_par4,Bud Cauley,0.08573343640755786
5,4,long_par4,Nick Taylor,0.0480631699041457
5,4,long_par4,Taylor Pendrith,0.03458313813396505
5,4,long_par4,Keith Mitchell,-0.006316280719498232
5,4,long_par4,Maverick McNealy,0.038824284692363056
5,4,long_par4,Michael Kim,0.04838888856605445
5,4,long_par4,Chris Kirk,-0.03232887530289467
5,4,long_par4,Thorbjørn Olesen,0.07439434659252314
5,4,long_par4,Gary Woodland,-0.0914950610957564
5,4,long_par4,Steven Fisk,-0.08017550373621654
5,4,long_par4,Michael Thorbjornsen,-0.06778510737672223
5,4,long_par4,Joseph Bramlett,-0.21082489675814875
5,4,long_par4,Alex Smalley,0.05488070500692347
5,4,long_par4,Emiliano Grillo,-0.03916698891241228
5,4,long_par4,Adam Scott,0.01685549052256771
5,4,long_par4,Sami Valimaki,-0.17406162691094726
5,4,long_par4,Thomas Rosenmueller,-0.23914456042223387
5,4,long_par4,Davis Thompson,-0.04341392205143617
5,4,long_par4,Chris Gotterup,-0.021246266664386976
5,4,long_par4,Ludvig Åberg,-0.032490662785397355
5,4,long_par4,Greyson Sigg,-0.12972544841017658
5,4,long_par4,Henrik Norlander,-0.24599990302285485
5,4,long_par4,Patrick Fishburn,0.00801533103037694
5,4,long_par4,Antoine Rozner,-0.1856156785787787
5,4,long_par4,Ricky Castillo,-0.014743355806975594
5,4,long_par4,Ryan Fox,-0.012877258228363537
5,4,long_par4,Luke Clanton,-0.12083301537567966
5,4,long_par4,Mac Meissner,-0.08216756288543083
5,4,long_par4,Zac Blair,-0.18502665775796984
5,4,long_par4,Matt Fitzpatrick,0.016575769275950333
5,4,long_par4,Max McGreevy,-0.0635217152010943
5,4,long_par4,Kevin Roy,-0.003152762753624341
5,4,long_par4,Harry Hall,-0.15207983447183174
5,4,long_par4,Jesper Svensson,-0.07854686910646452
5,4,long_par4,J.T. Poston,0.04472338655073288
5,4,long_par4,Austin Eckroat,-0.17103487372863202
5,4,long_par4,Ryo Hisatsune,-0.05331115657854583
5,4,long_par4,Jake Knapp,-0.0888348844534015
5,4,long_par4,Rickie Fowler,-0.034420832689212484
5,4,long_par4,Cameron Young,-0.11999454460392235
5,4,long_par4,Jhonattan Vegas,-0.13323844283975064
5,4,long_par4,Joel Dahmen,-0.10920036059895315
5,4,long_par4,Harris English,-0.08329686740554973
5,4,long_par4,Sam Burns,-0.22608803554472595
5,4,long_par4,Denny McCarthy,-0.22664162313100253
5,4,long_par4,Matt Wallace,-0.13010374479839287
5,4,long_par4,Garrick Higgo,-0.1403153606405177
6,3,mid_par3,Scottie Scheffler,0.540367745283268
6,3,mid_par3,Tommy Fleetwood,0.3648981733027286
6,3,mid_par3,Collin Morikawa,0.010273794198100735
6,3,mid_par3,J.J. Spaun,0.17256553861823706
6,3,mid_par3,Viktor Hovland,0.05340129622277583
6,3,mid_par3,Rico Hoey,-0.27709833772932946
6,3,mid_par3,Sepp Straka,0.1355202233897073
6,3,mid_par3,Russell Henley,0.3153619718475447
6,3,mid_par3,Patrick Cantlay,0.1725808747111015
6,3,mid_par3,Shane Lowry,0.07322017663345277
6,3,mid_par3,Rory McIlroy,0.14809243865905744
6,3,mid_par3,Kurt Kitayama,0.03635953009439692
6,3,mid_par3,Ben Griffin,0.24580833266059837
6,3,mid_par3,Aaron Rai,0.07397771273865232
6,3,mid_par3,Si Woo Kim,0.04728135382497127
6,3,mid_par3,Nicolai Højgaard,-0.006901104391045838
6,3,mid_par3,Kevin Yu,-0.03467932256413257
6,3,mid_par3,Ben Kohles,-0.09947701885141198
6,3,mid_par3,Daniel Berger,-0.06337009446328548
6,3,mid_par3,Keegan Bradley,0.16184773729717525
6,3,mid_par3,Doug Ghim,-0.18546448972079865
6,3,mid_par3,Xander Schauffele,0.012612885718746447
6,3,mid_par3,Akshay Bhatia,0.008673536625287895
6,3,mid_par3,Robert MacIntyre,0.17910185656627
6,3,mid_par3,Pierceson Coody,-0.13475204403342075
6,3,mid_par3,Corey Conners,0.0056842896427670205
6,3,mid_par3,Lee Hodges,0.1009896684364768
6,3,mid_par3,Jordan Spieth,0.18349282872237083
6,3,mid_par3,Justin Thomas,0.21385280888064845
6,3,mid_par3,Lucas Glover,-0.0036455415542100016
6,3,mid_par3,Hideki Matsuyama,0.12592305299077525
6,3,mid_par3,Victor Perez,-0.0016158958675949642
6,3,mid_par3,Ryan Gerard,-0.03578416823492619
6,3,mid_par3,Bud Cauley,0.0952264621977757
6,3,mid_par3,Nick Taylor,0.11085525667980281
6,3,mid_par3,Taylor Pendrith,-0.04159507364855305
6,3,mid_par3,Keith Mitchell,-0.10156962562862382
6,3,mid_par3,Maverick McNealy,0.053432270019500974
6,3,mid_par3,Michael Kim,0.10191369289575035
6,3,mid_par3,Chris Kirk,-0.01021874423525618
6,3,mid_par3,Thorbjørn Olesen,0.09308659934008505
6,3,mid_par3,Gary Woodland,-0.1359789919013268
6,3,mid_par3,Steven Fisk,-0.11052368156491857
6,3,mid_par3,Michael Thorbjornsen,-0.1770634899779603
6,3,mid_par3,Joseph Bramlett,-0.2153118960347394
6,3,mid_par3,Alex Smalley,0.03140433135064389
6,3,mid_par3,Emiliano Grillo,-0.04529283293451048
6,3,mid_par3,Adam Scott,-0.01528006298516111
6,3,mid_par3,Sami Valimaki,-0.028635929984457537
6,3,mid_par3,Thomas Rosenmueller,-0.3374925261716322
6,3,mid_par3,Davis Thompson,-0.08875662147132253
6,3,mid_par3,Chris Gotterup,-0.08647106049901912
6,3,mid_par3,Ludvig Åberg,-0.10112395720684575
6,3,mid_par3,Greyson Sigg,-0.09961431216507556
6,3,mid_par3,Henrik Norlander,-0.15594193758463196
6,3,mid_par3,Patrick Fishburn,0.002043690086674633
6,3,mid_par3,Antoine Rozner,-0.20079924310783592
6,3,mid_par3,Ricky Castillo,-0.027214765486846166
6,3,mid_par3,Ryan Fox,0.05999286422046656
6,3,mid_par3,Luke Clanton,-0.180677661053988
6,3,mid_par3,Mac Meissner,0.05165655585516459
6,3,mid_par3,Zac Blair,-0.06562410931478409
6,3,mid_par3,Matt Fitzpatrick,0.0812384857835717
6,3,mid_par3,Max McGreevy,-0.10998502692207361
6,3,mid_par3,Kevin Roy,0.0018027143835700062
6,3,mid_par3,Harry Hall,0.05135896039251509
6,3,mid_par3,Jesper Svensson,-0.12734702255750055
6,3,mid_par3,J.T. Poston,0.0856554386299709
6,3,mid_par3,Austin Eckroat,-0.20949984884330763
6,3,mid_par3,Ryo Hisatsune,-0.024498495425498677
6,3,mid_par3,Jake Knapp,-0.06365438729776994
6,3,mid_par3,Rickie Fowler,-0.042646719663090575
6,3,mid_par3,Cameron Young,-0.08190966603747558
6,3,mid_par3,Jhonattan Vegas,-0.15705163085932547
6,3,mid_par3,Joel Dahmen,-0.12012805570106258
6,3,mid_par3,Harris English,-0.04688584595496279
6,3,mid_par3,Sam Burns,-0.10898772080600141
6,3,mid_par3,Denny McCarthy,-0.04729010208367558
6,3,mid_par3,Matt Wallace,0.04226060026412584
6,3,mid_par3,Garrick Higgo,-0.03595668664534235
