player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Kurt Kitayama,0.33,0.351,0.334,0.54,0.39,0.17,-0.27,86,A,95,86,84,74,84,91,5.36755259624959,0.4830797336624631,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Michael Kim,0.2,0.165,0.201,0.04,0.37,0.16,-0.0,83,B,86,86,84,79,93,94,5.364967265971578,0.48284705393744204,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Alex Smalley,0.18,0.166,0.183,0.41,0.08,0.12,0.04,82,B,92,82,83,80,93,93,5.260710879872265,0.47346397918850386,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Hideki Matsuyama,0.23,0.341,0.234,-0.17,0.48,0.48,-0.03,83,A,82,87,94,79,84,89,5.050060048494201,0.45450540436447806,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Maverick McNealy,0.21,0.186,0.205,0.18,0.28,-0.08,0.35,83,B,89,84,76,86,92,93,4.889295816087408,0.4400366234478667,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Si Woo Kim,0.31,0.372,0.31,0.34,0.42,0.35,-0.37,85,A,91,87,90,72,82,89,4.845796015173956,0.43612164136565607,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Harry Hall,0.12,0.44,0.117,-0.07,-0.02,0.38,0.88,81,B,84,80,91,97,79,84,4.309946631669304,0.3878951968502373,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Corey Conners,0.25,0.241,0.248,0.39,0.32,-0.15,0.13,84,A,92,85,73,82,89,93,4.260922716220781,0.3834830444598703,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Shane Lowry,0.36,0.392,0.363,0.08,0.76,0.04,-0.12,86,A,87,91,80,77,81,90,4.254827152644342,0.3829344437379908,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Kevin Roy,0.12,0.132,0.121,0.29,0.03,0.01,0.19,81,B,90,81,79,83,95,93,4.235335781046905,0.3811802202942214,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Ryan Fox,0.14,0.16,0.145,-0.05,0.3,0.02,0.19,81,B,85,85,79,83,94,93,4.188583607686025,0.3769725246917422,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Patrick Fishburn,0.15,0.136,0.152,0.26,0.14,-0.06,0.17,81,B,90,82,76,83,95,93,4.062227542580198,0.3656004788322178,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Collin Morikawa,0.45,0.493,0.453,0.49,0.76,-0.05,-0.31,89,S,94,91,77,73,76,89,4.035565081201312,0.36320085730811813,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Kevin Yu,0.3,0.336,0.304,0.62,0.31,-0.14,0.01,85,A,96,85,73,80,84,91,4.014962439227419,0.36134661953046765,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Jason Day,0.04,0.173,0.039,0.09,-0.11,0.3,0.17,79,C,87,79,89,83,93,91,3.937510329216839,0.35437592962951553,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Andrew Novak,0.04,0.108,0.04,0.04,-0.04,0.16,0.2,79,C,86,80,84,83,97,93,3.903174920937727,0.3512857428843954,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Taylor Pendrith,0.22,0.259,0.218,0.54,0.13,-0.03,0.03,83,A,95,82,77,80,88,91,3.86077418538574,0.34746967668471657,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Adam Scott,0.18,0.192,0.175,0.35,0.17,0.03,-0.1,82,B,91,83,79,77,92,93,3.7473619434462364,0.33726257491016126,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Ricky Castillo,0.14,0.206,0.145,0.36,0.06,0.16,-0.14,81,B,92,81,84,77,91,91,3.6705637944993135,0.3303507415049382,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Brian Harman,0.05,0.062,0.051,-0.02,0.07,0.13,0.04,79,B,85,81,83,80,99,94,3.6437659309810577,0.3279389337882952,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Viktor Hovland,0.43,0.499,0.428,0.1,0.94,-0.13,-0.07,88,S,87,94,74,78,76,89,3.5528376291277506,0.31975538662149755,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Matt Wallace,0.07,0.27,0.069,-0.16,0.09,0.48,0.04,79,B,83,82,95,80,88,88,3.5372798222026507,0.31835518399823853,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Vince Whaley,0.03,0.152,0.031,-0.0,-0.05,0.2,0.26,79,C,85,80,85,85,94,91,3.4970795884599704,0.3147371629613973,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Mac Meissner,0.14,0.244,0.14,-0.17,0.34,0.28,-0.03,81,B,82,85,88,79,89,90,3.4216038384693386,0.3079443454622405,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Harris English,0.09,0.226,0.089,0.26,-0.07,0.0,0.42,80,B,90,79,78,88,90,90,3.0834184164920555,0.27750765748428496,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Rickie Fowler,0.1,0.144,0.104,0.28,0.04,-0.06,0.08,80,B,90,81,76,81,95,93,3.0683072390263733,0.2761476515123736,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Nicolai Højgaard,0.31,0.364,0.309,0.21,0.6,-0.29,0.19,85,A,89,89,69,83,83,90,2.99133876721934,0.2692204890497406,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Xander Schauffele,0.26,0.328,0.262,0.08,0.58,-0.02,-0.18,84,A,87,89,78,76,85,90,2.98882798606535,0.2689945187458815,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Garrick Higgo,0.07,0.329,0.069,0.13,-0.11,0.11,0.66,79,B,88,79,82,93,85,86,2.985762459224138,0.26871862133017244,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Chris Gotterup,0.17,0.28,0.169,0.57,-0.01,0.03,0.0,82,B,95,80,79,79,87,90,2.972135877036661,0.2674922289332995,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Victor Perez,0.23,0.288,0.232,0.09,0.48,-0.22,0.22,83,A,87,87,71,84,87,91,2.8903253344325597,0.2601292800989304,classic_ballstriker,"Classic shot-making course, ball-striking premium"
