player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Steven Fisk,0.19,0.378,0.191,0.39,0.2,0.2,-0.47,82,B,92,83,85,70,82,87,0.38013381330240964,0.038013381330240965,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Chandler Phillips,-0.09,0.196,-0.092,-0.3,-0.06,0.18,-0.02,76,C,80,79,85,79,92,87,0.2696605214641641,0.02696605214641641,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Eric Cole,-0.01,0.331,-0.015,-0.48,0.19,0.14,0.22,77,C,77,83,83,84,85,84,0.22299155584226082,0.022299155584226085,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jeremy Paul,-0.11,0.095,-0.11,-0.1,-0.18,-0.0,0.02,75,D,84,78,78,80,97,89,-0.020639197955395927,-0.002063919795539593,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Jackson Suber,0.06,0.195,0.062,-0.14,0.27,-0.15,0.04,79,B,83,84,73,80,92,90,-0.13751896830923938,-0.013751896830923939,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Chan Kim,0.05,0.266,0.053,-0.2,0.27,0.13,-0.29,79,B,82,84,83,73,88,88,-0.41537788048455554,-0.04153778804845556,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Beau Hossler,-0.18,0.409,-0.181,-0.29,-0.41,0.43,0.26,74,D,80,74,93,85,80,79,-0.42696983586329096,-0.0426969835863291,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Joel Dahmen,0.09,0.209,0.09,0.19,0.16,-0.11,-0.24,80,B,89,83,75,75,91,90,-0.4518845638597826,-0.045188456385978265,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Trey Mullinax,0.01,0.133,0.012,0.04,0.06,-0.22,0.04,78,C,86,81,71,80,95,91,-0.5406100389492414,-0.054061003894924145,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Adam Schenk,-0.05,0.091,-0.051,0.06,-0.09,-0.16,-0.05,77,C,86,79,73,78,97,91,-0.9250205974455004,-0.09250205974455004,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Zac Blair,0.14,0.36,0.139,-0.29,0.54,-0.02,-0.14,81,B,80,88,78,77,83,87,-0.957476466437706,-0.09574764664377061,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Greyson Sigg,0.16,0.349,0.157,0.05,0.39,0.07,-0.45,82,B,86,86,81,70,84,88,-1.002386413574948,-0.10023864135749481,wind_links_open,"Open Championship-style links: wind, firm, ground game"
Matti Schmid,0.05,0.251,0.046,0.11,0.06,-0.3,0.3,79,B,87,81,68,85,89,88,-1.1110146299751407,-0.11110146299751407,wind_links_open,"Open Championship-style links: wind, firm, ground game"
David Skinns,0.04,0.238,0.04,-0.21,0.29,-0.04,-0.22,79,C,82,85,77,75,90,89,-1.1442512982879331,-0.11442512982879333,wind_links_open,"Open Championship-style links: wind, firm, ground game"
